Part Instance,Node ID,Attached elements,Values,Measurement Type,Element Type,Interpolation Type,Element Size
OSSO-4,D,4512,0.0894114,"S, Mises",quad,quad,0.25
OSSO-4,D,21183,0.0894114,"S, Mises",quad,quad,0.25
OSSO-4,A,26,0.291923,"S, Mises",tri,lin,10.0
OSSO-4,A,83,0.291923,"S, Mises",tri,lin,10.0
OSSO-4,A,95,0.291923,"S, Mises",tri,lin,10.0
OSSO-4,B,63,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,B,77,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,B,117,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,B,122,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,C,10,0.0804607,"S, Mises",tri,lin,10.0
OSSO-4,C,44,0.0804607,"S, Mises",tri,lin,10.0
OSSO-4,C,55,0.0804607,"S, Mises",tri,lin,10.0
OSSO-4,D,4,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,D,65,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,D,72,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,D,76,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,A,43,0.00258119,"U, Magnitude",quad,quad,3.0
OSSO-4,A,65,0.00258119,"U, Magnitude",quad,quad,3.0
OSSO-4,B,50,0.00421167,"U, Magnitude",quad,quad,3.0
OSSO-4,B,85,0.00421167,"U, Magnitude",quad,quad,3.0
OSSO-4,C,57,0.00554891,"U, Magnitude",quad,quad,3.0
OSSO-4,C,90,0.00554891,"U, Magnitude",quad,quad,3.0
OSSO-4,D,32,0.00120321,"U, Magnitude",quad,quad,3.0
OSSO-4,D,66,0.00120321,"U, Magnitude",quad,quad,3.0
OSSO-4,A,43,0.224095,"S, Mises",quad,lin,3.0
OSSO-4,A,65,0.224095,"S, Mises",quad,lin,3.0
OSSO-4,B,50,0.158156,"S, Mises",quad,lin,3.0
OSSO-4,B,85,0.158156,"S, Mises",quad,lin,3.0
OSSO-4,C,57,0.0971908,"S, Mises",quad,lin,3.0
OSSO-4,C,90,0.0971908,"S, Mises",quad,lin,3.0
OSSO-4,D,32,0.120277,"S, Mises",quad,lin,3.0
OSSO-4,D,66,0.120277,"S, Mises",quad,lin,3.0
OSSO-4,A,67,0.00255104,"U, Magnitude",tri,lin,2.0
OSSO-4,A,428,0.00255104,"U, Magnitude",tri,lin,2.0
OSSO-4,A,623,0.00255104,"U, Magnitude",tri,lin,2.0
OSSO-4,B,433,0.00416667,"U, Magnitude",tri,lin,2.0
OSSO-4,B,543,0.00416667,"U, Magnitude",tri,lin,2.0
OSSO-4,B,630,0.00416667,"U, Magnitude",tri,lin,2.0
OSSO-4,C,440,0.00548807,"U, Magnitude",tri,lin,2.0
OSSO-4,C,618,0.00548807,"U, Magnitude",tri,lin,2.0
OSSO-4,C,635,0.00548807,"U, Magnitude",tri,lin,2.0
OSSO-4,D,228,0.00118249,"U, Magnitude",tri,lin,2.0
OSSO-4,D,496,0.00118249,"U, Magnitude",tri,lin,2.0
OSSO-4,D,499,0.00118249,"U, Magnitude",tri,lin,2.0
OSSO-4,A,48,0.215419,"S, Mises",tri,quad,3.0
OSSO-4,A,104,0.215419,"S, Mises",tri,quad,3.0
OSSO-4,A,375,0.215419,"S, Mises",tri,quad,3.0
OSSO-4,B,113,0.181088,"S, Mises",tri,quad,3.0
OSSO-4,B,115,0.181088,"S, Mises",tri,quad,3.0
OSSO-4,B,144,0.181088,"S, Mises",tri,quad,3.0
OSSO-4,C,63,0.10826,"S, Mises",tri,quad,3.0
OSSO-4,C,118,0.10826,"S, Mises",tri,quad,3.0
OSSO-4,C,175,0.10826,"S, Mises",tri,quad,3.0
OSSO-4,D,75,0.0937627,"S, Mises",tri,quad,3.0
OSSO-4,D,178,0.0937627,"S, Mises",tri,quad,3.0
OSSO-4,D,309,0.0937627,"S, Mises",tri,quad,3.0
OSSO-4,A,1401,0.0025861,"U, Magnitude",tri,quad,0.25
OSSO-4,A,23557,0.0025861,"U, Magnitude",tri,quad,0.25
OSSO-4,A,30125,0.0025861,"U, Magnitude",tri,quad,0.25
OSSO-4,B,1187,0.00421902,"U, Magnitude",tri,quad,0.25
OSSO-4,B,23607,0.00421902,"U, Magnitude",tri,quad,0.25
OSSO-4,B,23920,0.00421902,"U, Magnitude",tri,quad,0.25
OSSO-4,C,2075,0.00555967,"U, Magnitude",tri,quad,0.25
OSSO-4,C,2215,0.00555967,"U, Magnitude",tri,quad,0.25
OSSO-4,C,23687,0.00555967,"U, Magnitude",tri,quad,0.25
OSSO-4,D,23875,0.00120668,"U, Magnitude",tri,quad,0.25
OSSO-4,D,24049,0.00120668,"U, Magnitude",tri,quad,0.25
OSSO-4,D,24616,0.00120668,"U, Magnitude",tri,quad,0.25
OSSO-4,A,34,0.21672,"S, Mises",quad,quad,5.0
OSSO-4,A,97,0.21672,"S, Mises",quad,quad,5.0
OSSO-4,B,65,0.177904,"S, Mises",quad,quad,5.0
OSSO-4,B,77,0.177904,"S, Mises",quad,quad,5.0
OSSO-4,C,10,0.114005,"S, Mises",quad,quad,5.0
OSSO-4,C,40,0.114005,"S, Mises",quad,quad,5.0
OSSO-4,D,73,0.0891673,"S, Mises",quad,quad,5.0
OSSO-4,D,87,0.0891673,"S, Mises",quad,quad,5.0
OSSO-4,A,26,0.22347,"S, Mises",tri,quad,10.0
OSSO-4,A,83,0.22347,"S, Mises",tri,quad,10.0
OSSO-4,A,95,0.22347,"S, Mises",tri,quad,10.0
OSSO-4,B,63,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,B,77,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,B,117,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,B,122,0.184468,"S, Mises",tri,quad,10.0
OSSO-4,C,10,0.129003,"S, Mises",tri,quad,10.0
OSSO-4,C,44,0.129003,"S, Mises",tri,quad,10.0
OSSO-4,C,55,0.129003,"S, Mises",tri,quad,10.0
OSSO-4,D,4,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,D,65,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,D,72,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,D,76,0.105643,"S, Mises",tri,quad,10.0
OSSO-4,A,133,0.00258522,"U, Magnitude",quad,quad,1.0
OSSO-4,A,1393,0.00258522,"U, Magnitude",quad,quad,1.0
OSSO-4,B,1078,0.00421766,"U, Magnitude",quad,quad,1.0
OSSO-4,B,1405,0.00421766,"U, Magnitude",quad,quad,1.0
OSSO-4,C,231,0.00555762,"U, Magnitude",quad,quad,1.0
OSSO-4,C,1592,0.00555762,"U, Magnitude",quad,quad,1.0
OSSO-4,D,1451,0.00120608,"U, Magnitude",quad,quad,1.0
OSSO-4,D,1452,0.00120608,"U, Magnitude",quad,quad,1.0
OSSO-4,A,525,0.00258587,"U, Magnitude",quad,quad,0.5
OSSO-4,A,526,0.00258587,"U, Magnitude",quad,quad,0.5
OSSO-4,B,5347,0.00421865,"U, Magnitude",quad,quad,0.5
OSSO-4,B,5987,0.00421865,"U, Magnitude",quad,quad,0.5
OSSO-4,C,774,0.00555908,"U, Magnitude",quad,quad,0.5
OSSO-4,C,5372,0.00555908,"U, Magnitude",quad,quad,0.5
OSSO-4,D,1232,0.00120652,"U, Magnitude",quad,quad,0.5
OSSO-4,D,1233,0.00120652,"U, Magnitude",quad,quad,0.5
OSSO-4,A,525,0.215015,"S, Mises",quad,quad,0.5
OSSO-4,A,526,0.215015,"S, Mises",quad,quad,0.5
OSSO-4,B,5347,0.17891,"S, Mises",quad,quad,0.5
OSSO-4,B,5987,0.17891,"S, Mises",quad,quad,0.5
OSSO-4,C,774,0.105857,"S, Mises",quad,quad,0.5
OSSO-4,C,5372,0.105857,"S, Mises",quad,quad,0.5
OSSO-4,D,1232,0.0894067,"S, Mises",quad,quad,0.5
OSSO-4,D,1233,0.0894067,"S, Mises",quad,quad,0.5
OSSO-4,A,1401,0.215913,"S, Mises",tri,lin,0.25
OSSO-4,A,23557,0.215913,"S, Mises",tri,lin,0.25
OSSO-4,A,30125,0.215913,"S, Mises",tri,lin,0.25
OSSO-4,B,1187,0.177464,"S, Mises",tri,lin,0.25
OSSO-4,B,23607,0.177464,"S, Mises",tri,lin,0.25
OSSO-4,B,23920,0.177464,"S, Mises",tri,lin,0.25
OSSO-4,C,2075,0.105029,"S, Mises",tri,lin,0.25
OSSO-4,C,2215,0.105029,"S, Mises",tri,lin,0.25
OSSO-4,C,23687,0.105029,"S, Mises",tri,lin,0.25
OSSO-4,D,23875,0.0879235,"S, Mises",tri,lin,0.25
OSSO-4,D,24049,0.0879235,"S, Mises",tri,lin,0.25
OSSO-4,D,24616,0.0879235,"S, Mises",tri,lin,0.25
OSSO-4,A,67,0.223152,"S, Mises",tri,lin,2.0
OSSO-4,A,428,0.223152,"S, Mises",tri,lin,2.0
OSSO-4,A,623,0.223152,"S, Mises",tri,lin,2.0
OSSO-4,B,433,0.163712,"S, Mises",tri,lin,2.0
OSSO-4,B,543,0.163712,"S, Mises",tri,lin,2.0
OSSO-4,B,630,0.163712,"S, Mises",tri,lin,2.0
OSSO-4,C,440,0.100435,"S, Mises",tri,lin,2.0
OSSO-4,C,618,0.100435,"S, Mises",tri,lin,2.0
OSSO-4,C,635,0.100435,"S, Mises",tri,lin,2.0
OSSO-4,D,228,0.098933,"S, Mises",tri,lin,2.0
OSSO-4,D,496,0.098933,"S, Mises",tri,lin,2.0
OSSO-4,D,499,0.098933,"S, Mises",tri,lin,2.0
OSSO-4,A,59,0.00258902,"U, Magnitude",quad,lin,2.0
OSSO-4,A,372,0.00258902,"U, Magnitude",quad,lin,2.0
OSSO-4,B,373,0.00423006,"U, Magnitude",quad,lin,2.0
OSSO-4,B,441,0.00423006,"U, Magnitude",quad,lin,2.0
OSSO-4,C,128,0.00558178,"U, Magnitude",quad,lin,2.0
OSSO-4,C,377,0.00558178,"U, Magnitude",quad,lin,2.0
OSSO-4,D,209,0.00120987,"U, Magnitude",quad,lin,2.0
OSSO-4,D,397,0.00120987,"U, Magnitude",quad,lin,2.0
OSSO-4,A,561,0.21477,"S, Mises",tri,lin,0.5
OSSO-4,A,5991,0.21477,"S, Mises",tri,lin,0.5
OSSO-4,B,6015,0.176611,"S, Mises",tri,lin,0.5
OSSO-4,B,7349,0.176611,"S, Mises",tri,lin,0.5
OSSO-4,B,7350,0.176611,"S, Mises",tri,lin,0.5
OSSO-4,C,6059,0.104707,"S, Mises",tri,lin,0.5
OSSO-4,C,6370,0.104707,"S, Mises",tri,lin,0.5
OSSO-4,C,6462,0.104707,"S, Mises",tri,lin,0.5
OSSO-4,D,1316,0.0860747,"S, Mises",tri,lin,0.5
OSSO-4,D,6143,0.0860747,"S, Mises",tri,lin,0.5
OSSO-4,D,6180,0.0860747,"S, Mises",tri,lin,0.5
OSSO-4,A,561,0.00258275,"U, Magnitude",tri,lin,0.5
OSSO-4,A,5991,0.00258275,"U, Magnitude",tri,lin,0.5
OSSO-4,B,6015,0.00421424,"U, Magnitude",tri,lin,0.5
OSSO-4,B,7349,0.00421424,"U, Magnitude",tri,lin,0.5
OSSO-4,B,7350,0.00421424,"U, Magnitude",tri,lin,0.5
OSSO-4,C,6059,0.00555364,"U, Magnitude",tri,lin,0.5
OSSO-4,C,6370,0.00555364,"U, Magnitude",tri,lin,0.5
OSSO-4,C,6462,0.00555364,"U, Magnitude",tri,lin,0.5
OSSO-4,D,1316,0.00120439,"U, Magnitude",tri,lin,0.5
OSSO-4,D,6143,0.00120439,"U, Magnitude",tri,lin,0.5
OSSO-4,D,6180,0.00120439,"U, Magnitude",tri,lin,0.5
OSSO-4,A,1401,0.215081,"S, Mises",tri,quad,0.25
OSSO-4,A,23557,0.215081,"S, Mises",tri,quad,0.25
OSSO-4,A,30125,0.215081,"S, Mises",tri,quad,0.25
OSSO-4,B,1187,0.179217,"S, Mises",tri,quad,0.25
OSSO-4,B,23607,0.179217,"S, Mises",tri,quad,0.25
OSSO-4,B,23920,0.179217,"S, Mises",tri,quad,0.25
OSSO-4,C,2075,0.10594,"S, Mises",tri,quad,0.25
OSSO-4,C,2215,0.10594,"S, Mises",tri,quad,0.25
OSSO-4,C,23687,0.10594,"S, Mises",tri,quad,0.25
OSSO-4,D,23875,0.0897578,"S, Mises",tri,quad,0.25
OSSO-4,D,24049,0.0897578,"S, Mises",tri,quad,0.25
OSSO-4,D,24616,0.0897578,"S, Mises",tri,quad,0.25
OSSO-4,A,59,0.21536,"S, Mises",quad,quad,2.0
OSSO-4,A,372,0.21536,"S, Mises",quad,quad,2.0
OSSO-4,B,373,0.178555,"S, Mises",quad,quad,2.0
OSSO-4,B,441,0.178555,"S, Mises",quad,quad,2.0
OSSO-4,C,128,0.106641,"S, Mises",quad,quad,2.0
OSSO-4,C,377,0.106641,"S, Mises",quad,quad,2.0
OSSO-4,D,209,0.0895436,"S, Mises",quad,quad,2.0
OSSO-4,D,397,0.0895436,"S, Mises",quad,quad,2.0
OSSO-4,A,561,0.214805,"S, Mises",tri,quad,0.5
OSSO-4,A,5991,0.214805,"S, Mises",tri,quad,0.5
OSSO-4,B,6015,0.179451,"S, Mises",tri,quad,0.5
OSSO-4,B,7349,0.179451,"S, Mises",tri,quad,0.5
OSSO-4,B,7350,0.179451,"S, Mises",tri,quad,0.5
OSSO-4,C,6059,0.106058,"S, Mises",tri,quad,0.5
OSSO-4,C,6370,0.106058,"S, Mises",tri,quad,0.5
OSSO-4,C,6462,0.106058,"S, Mises",tri,quad,0.5
OSSO-4,D,1316,0.0902532,"S, Mises",tri,quad,0.5
OSSO-4,D,6143,0.0902532,"S, Mises",tri,quad,0.5
OSSO-4,D,6180,0.0902532,"S, Mises",tri,quad,0.5
OSSO-4,A,1278,0.215003,"S, Mises",quad,lin,0.25
OSSO-4,A,1327,0.215003,"S, Mises",quad,lin,0.25
OSSO-4,B,1119,0.178939,"S, Mises",quad,lin,0.25
OSSO-4,B,20920,0.178939,"S, Mises",quad,lin,0.25
OSSO-4,C,1962,0.105825,"S, Mises",quad,lin,0.25
OSSO-4,C,2094,0.105825,"S, Mises",quad,lin,0.25
OSSO-4,D,4512,0.0894114,"S, Mises",quad,lin,0.25
OSSO-4,D,21183,0.0894114,"S, Mises",quad,lin,0.25
OSSO-4,A,43,0.00259969,"U, Magnitude",quad,lin,3.0
OSSO-4,A,65,0.00259969,"U, Magnitude",quad,lin,3.0
OSSO-4,B,50,0.00423983,"U, Magnitude",quad,lin,3.0
OSSO-4,B,85,0.00423983,"U, Magnitude",quad,lin,3.0
OSSO-4,C,57,0.00559905,"U, Magnitude",quad,lin,3.0
OSSO-4,C,90,0.00559905,"U, Magnitude",quad,lin,3.0
OSSO-4,D,32,0.00120831,"U, Magnitude",quad,lin,3.0
OSSO-4,D,66,0.00120831,"U, Magnitude",quad,lin,3.0
OSSO-4,A,525,0.00258641,"U, Magnitude",quad,lin,0.5
OSSO-4,A,526,0.00258641,"U, Magnitude",quad,lin,0.5
OSSO-4,B,5347,0.0042196,"U, Magnitude",quad,lin,0.5
OSSO-4,B,5987,0.0042196,"U, Magnitude",quad,lin,0.5
OSSO-4,C,774,0.0055608,"U, Magnitude",quad,lin,0.5
OSSO-4,C,5372,0.0055608,"U, Magnitude",quad,lin,0.5
OSSO-4,D,1232,0.00120685,"U, Magnitude",quad,lin,0.5
OSSO-4,D,1233,0.00120685,"U, Magnitude",quad,lin,0.5
OSSO-4,A,525,0.21627,"S, Mises",quad,lin,0.5
OSSO-4,A,526,0.21627,"S, Mises",quad,lin,0.5
OSSO-4,B,5347,0.173913,"S, Mises",quad,lin,0.5
OSSO-4,B,5987,0.173913,"S, Mises",quad,lin,0.5
OSSO-4,C,774,0.103951,"S, Mises",quad,lin,0.5
OSSO-4,C,5372,0.103951,"S, Mises",quad,lin,0.5
OSSO-4,D,1232,0.0843433,"S, Mises",quad,lin,0.5
OSSO-4,D,1233,0.0843433,"S, Mises",quad,lin,0.5
OSSO-4,A,561,0.00258583,"U, Magnitude",tri,quad,0.5
OSSO-4,A,5991,0.00258583,"U, Magnitude",tri,quad,0.5
OSSO-4,B,6015,0.00421865,"U, Magnitude",tri,quad,0.5
OSSO-4,B,7349,0.00421865,"U, Magnitude",tri,quad,0.5
OSSO-4,B,7350,0.00421865,"U, Magnitude",tri,quad,0.5
OSSO-4,C,6059,0.00555922,"U, Magnitude",tri,quad,0.5
OSSO-4,C,6370,0.00555922,"U, Magnitude",tri,quad,0.5
OSSO-4,C,6462,0.00555922,"U, Magnitude",tri,quad,0.5
OSSO-4,D,1316,0.0012065,"U, Magnitude",tri,quad,0.5
OSSO-4,D,6143,0.0012065,"U, Magnitude",tri,quad,0.5
OSSO-4,D,6180,0.0012065,"U, Magnitude",tri,quad,0.5
OSSO-4,A,133,0.00258698,"U, Magnitude",quad,lin,1.0
OSSO-4,A,1393,0.00258698,"U, Magnitude",quad,lin,1.0
OSSO-4,B,1078,0.00422145,"U, Magnitude",quad,lin,1.0
OSSO-4,B,1405,0.00422145,"U, Magnitude",quad,lin,1.0
OSSO-4,C,231,0.00556413,"U, Magnitude",quad,lin,1.0
OSSO-4,C,1592,0.00556413,"U, Magnitude",quad,lin,1.0
OSSO-4,D,1451,0.00120696,"U, Magnitude",quad,lin,1.0
OSSO-4,D,1452,0.00120696,"U, Magnitude",quad,lin,1.0
OSSO-4,A,34,0.00261524,"U, Magnitude",quad,lin,5.0
OSSO-4,A,97,0.00261524,"U, Magnitude",quad,lin,5.0
OSSO-4,B,65,0.00428102,"U, Magnitude",quad,lin,5.0
OSSO-4,B,77,0.00428102,"U, Magnitude",quad,lin,5.0
OSSO-4,C,10,0.00567077,"U, Magnitude",quad,lin,5.0
OSSO-4,C,40,0.00567077,"U, Magnitude",quad,lin,5.0
OSSO-4,D,73,0.00119981,"U, Magnitude",quad,lin,5.0
OSSO-4,D,87,0.00119981,"U, Magnitude",quad,lin,5.0
OSSO-4,A,67,0.215191,"S, Mises",tri,quad,2.0
OSSO-4,A,428,0.215191,"S, Mises",tri,quad,2.0
OSSO-4,A,623,0.215191,"S, Mises",tri,quad,2.0
OSSO-4,B,433,0.180725,"S, Mises",tri,quad,2.0
OSSO-4,B,543,0.180725,"S, Mises",tri,quad,2.0
OSSO-4,B,630,0.180725,"S, Mises",tri,quad,2.0
OSSO-4,C,440,0.1071,"S, Mises",tri,quad,2.0
OSSO-4,C,618,0.1071,"S, Mises",tri,quad,2.0
OSSO-4,C,635,0.1071,"S, Mises",tri,quad,2.0
OSSO-4,D,228,0.0923324,"S, Mises",tri,quad,2.0
OSSO-4,D,496,0.0923324,"S, Mises",tri,quad,2.0
OSSO-4,D,499,0.0923324,"S, Mises",tri,quad,2.0
OSSO-4,A,59,0.223038,"S, Mises",quad,lin,2.0
OSSO-4,A,372,0.223038,"S, Mises",quad,lin,2.0
OSSO-4,B,373,0.153708,"S, Mises",quad,lin,2.0
OSSO-4,B,441,0.153708,"S, Mises",quad,lin,2.0
OSSO-4,C,128,0.0976906,"S, Mises",quad,lin,2.0
OSSO-4,C,377,0.0976906,"S, Mises",quad,lin,2.0
OSSO-4,D,209,0.0950774,"S, Mises",quad,lin,2.0
OSSO-4,D,397,0.0950774,"S, Mises",quad,lin,2.0
